msno,is_churn
+hOnYeAsaqfHyVMACqoKkcxdTGir7RWyTqgmtajUM10=,1
cndW49GdGYMOhTDpptFDBbPMUMqj9qdxODGOo4lwDrw=,1
KnlLkWvesvGRJ+fhEKnFtV4i7ETE78BnKvunWwA9KRk=,1
Y0xf5aGyBhBMBvQEe/YHhrcIC55qBaFc+BjL7OJZNaM=,1
QQqTpdzfUI0gbhvlkU9TKDayJbB2JvZxlgkXPgcsuIY=,1
9tZOB++QJhf7l7GmId08VnTK3SbzSxCB0MLOt3xb4u8=,1
MscsXGOxdGA68sAzAdqz7ktkU6QVll5HuH6UUip2oyo=,1
crFPlavw+KfUxBa8fbVD0pWni8t5shklO9uoz8vY2cI=,1
oLlsNBNTWfOPSULmKZ2agqRDyqnIDbQ6Bwe4QjVzdGA=,1
Dcti4z1IPzoc/lWg/MDyvZl8GSOFbZAMSlTlrAClPVk=,1
bbLoPH7m0acP8WgkgAFiVqVOSWPIyGvr1HBwh2D+Z6U=,1
ak1Qf5JQe6GNhH8mLURTaP57x8eMXm8jYoc8tfc3ZPc=,1
m16fMSTcxvSmxE6dF6XW1n0a9EtWsSz2mz9bfRsZ58w=,1
1WyQIyF1QH6DbMCX8Hi5qzapTyO5DOodQRF35skR5XU=,1
JFBCMbQrEvRxDizpNaNs9ttdQXYqzqm/qe+/FueBPMg=,1
ux3RMddOg3CLBX2WY5LgG4fdPWCyx5OZt7UETHgxesM=,1
TNp8xcFigjBbYWEJ5Y+4Sa4NoFjzd4dD3TR9Xi8JvFE=,1
DQSfB/p6i34CJQIJ4O0ENtjM8qmtx1j8Fm7aWFNjDkQ=,1
zvGj42CORnEqRbZY7QDR5nmA2M9v5It4L4pUKaOWZ7o=,1
eKBl/KikvruqAyALTDVR1K20V2C5/LUr1p1qQDRoAQY=,1
6Q3Yu7gw2i1WcMQmOXE5YIQqVrMrbSTe+zvSw8O8afE=,1
C5yaU4euO7Ktv01tdxC1l/GLBjaKj+otvE/s3EqzCVs=,1
xMENshHwI3f2QNa0yqJ8ZqS+lfVg49gS5cP6ckAcXnE=,1
SmbPoQKwMD/sBZYed4DkFtA7ZTBkumqCcyz8G3FgVn4=,1
lyo17VGw287wIZ1XdmlGukfWtTxDO5zLZkjbgJVaCbE=,1
hyd03XC/2BhA4STElOX/waVqxm/kODM46KdOtb3DYZE=,1
JsEIcCIXPaFEWJgLmMJb7XiBqduxi4r5f62TgY2C9Yg=,1
+fCn3mwn7vftRGvRra1eXSzWT2u6TqXjtN0oM+NG8Gc=,1
pBkeG/KTZahAn45eHXSRsb80PGTAitvi0unjJeTm7lQ=,1
s19VvP7KbnGMw3d1pz6unAmPZ9wUOfq+SUX+HfNyTT8=,1
65tzW7TRYD+bJy21LYJqBgQnMI9dW/1JepsDpvF7h9o=,1
VQ/KJ4A1/Cxd83JxRC05Ib7hYLk6HydxU01kocXPXME=,1
pDNmrTNbIfLGmBHgp23ch5rxxHsInul/QVSswQpvAO4=,1
mp6JMPrrPrEBbnK5xmbtKy8x3IIbVr2MXtEVgcgxqHc=,1
tO5G1rzSmb4FY7+RC9CQi7M9bfWH31x43c5I5gXh8g0=,1
U7YIcfs9JbGItjfmIDgrdOyiEND1szdJnP8DK4DUJvI=,1
waug5fmdcExGzXsXFU0zFltzQ9LpPPD/C6Igiy1JFrs=,1
00GQipjo13RJnjTsLFgaX3nTfWCD953lKxC5pQdVsNs=,1
N6QXvmPUQWs7r6iAU7CfF6U2HtrGwKnHMAvBMVda1Jo=,1
KFJ/66JpdlCzDEXLXmwzO7LnthrXYE1DObB/bsUeW7U=,1
jMzon8imcNwrlNxhfRgjCOqksmORKoE8OfmXHkjBNmc=,1
EVDuBnp/CC0hh5JF8iNozxADqkPxfGll050zIGxKkQk=,1
LK0LpkXyRfBwSSGRzuFKG8lI/YBN80GIcjBr3tUIo20=,1
OigLT9VmM4EYJjQch1IsfZDaUOyHRvHAa/TIqTmRvH0=,1
b5hEnlXA+juev5zJ32lKR7PRJr9Ysg/6EhcBnbz95JY=,1
ztOqDQytvFOHxRD81ZLctj/L24XscmBirNGHz5SDTnA=,1
DbAbMNDwRtqqTfDBw7xHOBj4uUmmTyiptVrjcVGo42g=,1
IBUmVgSCOXv24LD/6rwg6vHvzo2VJzcUshkd1fLq3y8=,1
NULmU4TTISvMv9VIsNKN8l6FiGDu+8dzacJRVN9I2sI=,1
tDtJbr/f/306HuWg9rFiVl23vMhbzicvhmQfnr7mjbI=,1
ZvPjvLeDr5cfd3cS0SwnXdLxCT0+HPWBeGEeeB1k8pE=,1
57pBraaCjThvncvp8cvwMdDI2EJ8Z1yQafd9slypU5M=,1
